idx	v_val	v_vec	p_in	p_out
45	0.43932005430068344	"[4.89865281e-01 3.77276287e-19 2.59088113e-16 1.46193884e-16
 5.10134719e-01 6.67273785e-17 9.11030080e-19]"	[4.98184529e-01 0.00000000e+00 5.43776007e-16]	[0.         0.52398997 0.        ]
46	0.12916826927844735	[0.        0.        0.        0.8217371 0.        0.        0.1782629]	[0.         0.52398997 0.        ]	[0.49818446 0.         0.        ]
47	0.43932005745610214	"[4.89842017e-01 0.00000000e+00 0.00000000e+00 7.28395735e-18
 5.10157983e-01 0.00000000e+00 0.00000000e+00]"	[0.49818446 0.         0.        ]	[0.00000000e+00 5.23989586e-01 5.09251175e-17]
48	0.1291682805862467	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 8.21741025e-01
 3.79141382e-17 7.21108506e-17 1.78258975e-01]"	[0.00000000e+00 5.23989586e-01 5.09251175e-17]	[4.98185395e-01 0.00000000e+00 1.63133011e-15]
49	0.4393200142461864	"[4.89859415e-01 1.07336503e-19 9.12222165e-20 1.15625640e-17
 5.10140585e-01 3.01829496e-19 0.00000000e+00]"	[4.98185395e-01 0.00000000e+00 1.63133011e-15]	[0.         0.52398999 0.        ]
50	0.12916826887652588	"[0.00000000e+00 1.74110293e-17 3.76679908e-17 8.21734366e-01
 0.00000000e+00 0.00000000e+00 1.78265634e-01]"	[0.         0.52398999 0.        ]	[4.98183868e-01 0.00000000e+00 2.35636592e-15]
51	0.4393200878131189	"[4.89747935e-01 8.93301134e-23 3.15669611e-22 6.75809623e-17
 5.10252065e-01 4.17352701e-23 3.41810895e-22]"	[4.98183868e-01 0.00000000e+00 2.35636592e-15]	[9.14723457e-17 5.23987604e-01 0.00000000e+00]
52	0.12916833822557947	"[0.00000000e+00 4.31628331e-17 0.00000000e+00 8.21740307e-01
 0.00000000e+00 0.00000000e+00 1.78259693e-01]"	[9.14723457e-17 5.23987604e-01 0.00000000e+00]	[4.98184760e-01 0.00000000e+00 7.25033348e-16]
53	0.439320044113684	"[4.89820114e-01 6.45102281e-16 6.17684592e-16 1.35840134e-16
 5.10179886e-01 1.90786001e-16 6.10187987e-16]"	[4.98184760e-01 0.00000000e+00 7.25033348e-16]	[0.         0.52398873 0.        ]
54	0.12916830542833665	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 8.21746549e-01
 0.00000000e+00 3.71192767e-17 1.78253451e-01]"	[0.         0.52398873 0.        ]	[4.98184783e-01 1.40612671e-15 1.08754997e-15]
55	0.43932004272038794	"[4.89902099e-01 5.35108307e-16 5.68950390e-16 5.43538013e-17
 5.10097901e-01 3.28053720e-16 1.00157386e-15]"	[4.98184783e-01 1.40612671e-15 1.08754997e-15]	[0.         0.52399005 0.        ]
56	0.12916826709331897	"[0.00000000e+00 3.38271078e-17 3.46944695e-17 8.21742376e-01
 6.93889390e-18 6.93889390e-18 1.78257624e-01]"	[0.         0.52399005 0.        ]	[4.98184834e-01 2.63991538e-16 0.00000000e+00]
57	0.43932004084513665	"[4.89929791e-01 8.48108932e-16 4.61917266e-16 2.94114508e-19
 5.10070209e-01 1.78459656e-16 8.90824199e-16]"	[4.98184834e-01 2.63991538e-16 0.00000000e+00]	[2.68133966e-17 5.23991315e-01 2.54615120e-16]
58	0.12916823016970017	"[3.04339474e-20 9.81142071e-21 0.00000000e+00 8.21734959e-01
 6.55135146e-18 0.00000000e+00 1.78265041e-01]"	[2.68133966e-17 5.23991315e-01 2.54615120e-16]	[0.49818397 0.         0.        ]
59	0.4393200801807335	"[0.48986009 0.         0.         0.         0.51013991 0.
 0.        ]"	[0.49818397 0.         0.        ]	[1.34073855e-17 5.23989965e-01 0.00000000e+00]
60	0.12916826948948812	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 8.21732606e-01
 1.98298983e-17 5.18320235e-17 1.78267394e-01]"	[1.34073855e-17 5.23989965e-01 0.00000000e+00]	[0.49818378 0.         0.        ]
61	0.4393200890197073	"[0.48985511 0.         0.         0.         0.51014489 0.
 0.        ]"	[0.49818378 0.         0.        ]	[0.00000000e+00 5.23988209e-01 5.09246728e-17]
62	0.1291683206146094	"[6.23025478e-17 5.40536826e-17 8.73592412e-18 8.21739715e-01
 6.33726539e-17 1.10047630e-16 1.78260285e-01]"	[0.00000000e+00 5.23988209e-01 5.09246728e-17]	[4.98182538e-01 1.00544140e-15 0.00000000e+00]
63	0.4393201463688792	"[4.89865595e-01 1.00718432e-15 1.27988980e-15 3.98102693e-16
 5.10134405e-01 6.42245603e-16 1.44644664e-15]"	[4.98182538e-01 1.00544140e-15 0.00000000e+00]	[0.         0.52398933 0.        ]
64	0.12916828796935026	"[8.78987545e-17 7.06859025e-18 5.36059510e-17 8.21725354e-01
 4.66432428e-17 0.00000000e+00 1.78274646e-01]"	[0.         0.52398933 0.        ]	[4.98183997e-01 1.15058398e-15 1.75823671e-15]
65	0.4393200793262189	"[4.89918525e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.10081475e-01 3.60685096e-21 1.46774679e-20]"	[4.98183997e-01 1.15058398e-15 1.75823671e-15]	[0.         0.52399103 0.        ]
66	0.12916823856854856	"[1.39990990e-16 1.23367561e-16 4.75082507e-18 8.21751360e-01
 0.00000000e+00 5.22730795e-17 1.78248640e-01]"	[0.         0.52399103 0.        ]	[0.49818381 0.         0.        ]
67	0.43932008794349764	"[4.89905048e-01 4.70264725e-18 3.74404449e-18 0.00000000e+00
 5.10094952e-01 1.43599368e-18 1.17202798e-17]"	[0.49818381 0.         0.        ]	[0.00000000e+00 5.23990229e-01 1.01846751e-16]
