idx	v_val	p_in	v_vec	time
47	0.1064619339835917	[0.01, 0.24999999999999992, 0.02]	"[3.48855966e-13 1.58054682e-13 1.78639289e-13 2.36672836e-01
 7.63327163e-01 3.75722645e-13 0.00000000e+00]"	11.279394626617432
48	0.10510841703424126	[0.01, 0.2599999999999999, 0.0]	"[8.34527478e-17 2.86325528e-21 7.14972633e-21 2.46328720e-01
 7.53671274e-01 7.36826012e-18 1.19789982e-20]"	10.466275215148926
49	0.10664909552573447	[0.01, 0.2599999999999999, 0.01]	"[5.99885043e-18 6.16488481e-17 6.74424711e-17 2.46011848e-01
 7.53988150e-01 4.74301904e-17 9.71968190e-17]"	11.396172046661377
50	0.10811469485614593	[0.01, 0.2599999999999999, 0.02]	"[0.00000000e+00 0.00000000e+00 2.02288617e-15 2.45594228e-01
 7.54405772e-01 0.00000000e+00 7.67066308e-14]"	13.131401777267456
51	0.10682726044513284	[0.01, 0.2699999999999999, 0.0]	"[1.62347444e-16 0.00000000e+00 0.00000000e+00 2.55667957e-01
 7.44332043e-01 1.71692873e-16 4.59517134e-17]"	10.08547329902649
52	0.10829442505093691	[0.01, 0.2699999999999999, 0.01]	"[7.52920409e-17 0.00000000e+00 0.00000000e+00 2.54930353e-01
 7.45069647e-01 2.67809489e-17 3.64279561e-16]"	9.82439637184143
53	0.10968664323858585	[0.01, 0.2699999999999999, 0.02]	"[1.18472742e-16 1.60286432e-17 0.00000000e+00 2.54148930e-01
 7.45851070e-01 7.56856502e-17 2.31865375e-16]"	9.103503704071045
54	0.10846506073254424	[0.01, 0.2799999999999999, 0.0]	"[6.10512112e-17 2.23908416e-18 1.83165535e-18 2.64466903e-01
 7.35533097e-01 2.99380425e-18 1.81524271e-16]"	10.870051622390747
55	0.10985919076265604	[0.01, 0.2799999999999999, 0.01]	"[7.67691628e-17 0.00000000e+00 0.00000000e+00 2.63399766e-01
 7.36600234e-01 0.00000000e+00 5.91645679e-30]"	8.500487327575684
56	0.1111784741627762	[0.01, 0.2799999999999999, 0.02]	"[1.12357395e-16 0.00000000e+00 0.00000000e+00 2.62280003e-01
 7.37719997e-01 4.01115168e-17 0.00000000e+00]"	7.902162313461304
57	0.11002254597742228	[0.01, 0.2899999999999999, 0.0]	"[0.00000000e+00 1.29136160e-16 1.77956821e-17 2.72758651e-01
 7.27241349e-01 8.63906031e-17 1.42404420e-16]"	8.942858219146729
58	0.11134407624678247	[0.01, 0.2899999999999999, 0.01]	"[2.88477744e-17 9.34943515e-18 0.00000000e+00 2.71574359e-01
 7.28425641e-01 0.00000000e+00 0.00000000e+00]"	7.970690727233887
59	0.11259083251628181	[0.01, 0.2899999999999999, 0.02]	"[3.06933966e-17 0.00000000e+00 0.00000000e+00 2.70145284e-01
 7.29854716e-01 0.00000000e+00 0.00000000e+00]"	6.539642333984375
60	0.11150038526960804	[0.01, 0.29999999999999993, 0.0]	"[1.10638594e-18 0.00000000e+00 1.49422726e-17 2.80981437e-01
 7.19018563e-01 0.00000000e+00 2.34278764e-17]"	9.971078634262085
61	0.11274971714542537	[0.01, 0.29999999999999993, 0.01]	"[1.41628715e-16 0.00000000e+00 0.00000000e+00 2.79400528e-01
 7.20599472e-01 0.00000000e+00 2.03373154e-16]"	8.789088487625122
62	0.11392431767361963	[0.01, 0.29999999999999993, 0.02]	"[3.34354134e-17 0.00000000e+00 9.14302363e-18 2.77539613e-01
 7.22460387e-01 2.48494887e-18 1.24789284e-16]"	9.514044523239136
63	0.11289920659782818	[0.01, 0.30999999999999994, 0.0]	"[4.27138822e-17 0.00000000e+00 9.54029584e-17 2.88654894e-01
 7.11345106e-01 9.66518007e-18 0.00000000e+00]"	10.764891147613525
64	0.11407670268661765	[0.01, 0.30999999999999994, 0.01]	"[0.00000000e+00 7.40723655e-18 1.95561431e-17 2.86718979e-01
 7.13281021e-01 1.19346420e-16 9.46089146e-17]"	8.744428396224976
65	0.11517948781395422	[0.01, 0.30999999999999994, 0.02]	"[0.00000000e+00 5.12867503e-17 6.42989455e-18 2.84630195e-01
 7.15369805e-01 0.00000000e+00 0.00000000e+00]"	6.913327217102051
66	0.11421958983378261	[0.01, 0.3199999999999999, 0.0]	"[2.99544407e-17 0.00000000e+00 1.72320200e-17 2.95984697e-01
 7.04015303e-01 5.07386970e-17 4.87971586e-17]"	10.0854172706604
67	0.11532558349049611	[0.01, 0.3199999999999999, 0.01]	"[0.00000000e+00 5.16466501e-17 1.22470618e-17 2.93753374e-01
 7.06246626e-01 4.27625615e-17 4.76669441e-17]"	9.78503680229187
68	0.11635686408924796	[0.01, 0.3199999999999999, 0.02]	"[0.00000000e+00 5.06285529e-17 4.48905246e-17 2.91521305e-01
 7.08478695e-01 8.18388798e-17 2.46519033e-32]"	6.646144151687622
69	0.11546207830633706	[0.01, 0.32999999999999985, 0.0]	"[1.00527892e-16 0.00000000e+00 7.13173746e-17 3.03213954e-01
 6.96786046e-01 0.00000000e+00 9.88905773e-17]"	9.583706617355347
70	0.11649687248028592	[0.01, 0.32999999999999985, 0.01]	"[1.64604918e-17 5.48860764e-17 7.56800172e-17 3.00507820e-01
 6.99492180e-01 1.06846677e-16 3.94430453e-31]"	7.603743076324463
71	0.117456931200554	[0.01, 0.32999999999999985, 0.02]	"[1.23428457e-17 6.77541083e-17 0.00000000e+00 2.97832744e-01
 7.02167256e-01 5.42398215e-17 4.93038066e-32]"	6.61464262008667
72	0.11662717273147717	[0.01, 0.33999999999999986, 0.0]	"[0.00000000e+00 1.75784441e-17 0.00000000e+00 3.09665149e-01
 6.90334851e-01 0.00000000e+00 0.00000000e+00]"	9.4116690158844
73	0.11759104955202089	[0.01, 0.33999999999999986, 0.01]	"[0.00000000e+00 0.00000000e+00 2.35713846e-18 3.06952418e-01
 6.93047582e-01 0.00000000e+00 0.00000000e+00]"	6.6469995975494385
74	0.1184801460912449	[0.01, 0.33999999999999986, 0.02]	"[0.00000000e+00 0.00000000e+00 2.25992051e-17 3.04092926e-01
 6.95907074e-01 0.00000000e+00 1.23259516e-32]"	6.763839483261108
75	0.11771535113637605	[0.01, 0.34999999999999987, 0.0]	"[3.93924432e-17 4.44618041e-19 0.00000000e+00 3.16119424e-01
 6.83880576e-01 1.66303936e-19 2.81650891e-20]"	11.005837440490723
76	0.11860856505776267	[0.01, 0.34999999999999987, 0.01]	"[0.         0.         0.         0.31297414 0.68702586 0.
 0.        ]"	7.73253059387207
77	0.11942693516048539	[0.01, 0.34999999999999987, 0.02]	"[1.01685036e-17 1.98285778e-17 3.38301325e-18 3.09978938e-01
 6.90021062e-01 2.94912854e-17 9.10565981e-17]"	8.058137893676758
78	0.11872705578267975	[0.01, 0.3599999999999999, 0.0]	"[8.29829878e-17 7.59764895e-17 7.60527080e-17 3.22276579e-01
 6.77723421e-01 7.52549763e-17 0.00000000e+00]"	9.653629064559937
79	0.11954983793374639	[0.01, 0.3599999999999999, 0.01]	"[0.00000000e+00 3.04104898e-17 1.82709503e-17 3.19059965e-01
 6.80940035e-01 6.92167898e-17 6.67118165e-21]"	7.218896150588989
80	0.12029769907189354	[0.01, 0.3599999999999999, 0.02]	"[2.43041382e-20 9.65057929e-17 3.17361861e-17 3.15624753e-01
 6.84375247e-01 2.25827958e-17 0.00000000e+00]"	7.789217710494995
81	0.11966270504393303	[0.01, 0.3699999999999999, 0.0]	"[7.01845482e-17 0.00000000e+00 0.00000000e+00 3.28362584e-01
 6.71637416e-01 1.70884599e-16 9.14493534e-17]"	7.502698659896851
82	0.12041526665162502	[0.01, 0.3699999999999999, 0.01]	"[8.84617455e-18 5.02297741e-17 7.03034998e-17 3.24712856e-01
 6.75287144e-01 8.59965756e-18 0.00000000e+00]"	8.255568981170654
83	0.12109281429808019	[0.01, 0.3699999999999999, 0.02]	"[0.00000000e+00 1.80169921e-20 0.00000000e+00 3.21042042e-01
 6.78957958e-01 0.00000000e+00 4.81672172e-20]"	7.3562188148498535
84	0.12052268343972448	[0.01, 0.3799999999999999, 0.0]	"[9.56082590e-17 0.00000000e+00 1.46334177e-18 3.33773834e-01
 6.66226166e-01 0.00000000e+00 0.00000000e+00]"	8.466693639755249
85	0.12120522235670499	[0.01, 0.3799999999999999, 0.01]	"[4.12519500e-17 4.03775370e-17 1.51933976e-17 3.30038110e-01
 6.69961890e-01 3.99384859e-17 1.27624898e-16]"	8.666682243347168
86	0.1218126350801599	[0.01, 0.3799999999999999, 0.02]	"[3.65078564e-17 2.28127670e-18 1.95560331e-17 3.26216380e-01
 6.73783620e-01 5.83605396e-19 2.35109345e-16]"	7.5914998054504395
87	0.12130736593858	[0.01, 0.3899999999999999, 0.0]	"[8.37885487e-17 0.00000000e+00 0.00000000e+00 3.39223012e-01
 6.60776988e-01 3.05283679e-17 1.83022376e-16]"	8.784472227096558
88	0.12192005646198911	[0.01, 0.3899999999999999, 0.01]	"[2.36438809e-21 0.00000000e+00 1.91569365e-17 3.35271303e-01
 6.64728697e-01 1.05442907e-21 7.02741885e-21]"	7.473742246627808
89	0.12245749502695623	[0.01, 0.3899999999999999, 0.02]	"[6.28193091e-17 1.47766831e-17 1.54059610e-17 3.31176760e-01
 6.68823240e-01 4.99418491e-17 1.79946355e-16]"	8.11390471458435
90	0.122017096838467	[0.01, 0.3999999999999998, 0.0]	"[1.83877316e-16 0.00000000e+00 0.00000000e+00 3.44349802e-01
 6.55650198e-01 0.00000000e+00 2.14308868e-16]"	9.68508529663086
