idx	v_val	p_in	v_vec	time
42	0.10142438338319008	[0.01, 0.23999999999999994, 0.0]	"[8.52720206e-17 1.17673379e-17 3.20616542e-18 2.26018131e-01
 7.73981869e-01 4.38615916e-17 3.61349026e-17]"	10.442195415496826
43	0.10311372315810322	[0.01, 0.23999999999999994, 0.01]	"[2.15350463e-17 4.76082711e-17 3.62049866e-17 2.26640907e-01
 7.73359093e-01 0.00000000e+00 0.00000000e+00]"	8.11254334449768
44	0.10472760502887447	[0.01, 0.23999999999999994, 0.02]	"[5.73321737e-17 1.36339061e-16 1.05337521e-16 2.27002557e-01
 7.72997443e-01 3.54101855e-16 8.25246482e-17]"	10.652002811431885
45	0.1033077426352626	[0.01, 0.24999999999999992, 0.0]	"[0.00000000e+00 8.98185231e-18 0.00000000e+00 2.36522758e-01
 7.63477242e-01 0.00000000e+00 0.00000000e+00]"	5.280174016952515
46	0.10492246289888839	[0.01, 0.24999999999999992, 0.01]	"[4.29196166e-15 3.23633364e-16 0.00000000e+00 2.36721761e-01
 7.63278239e-01 4.58128770e-17 1.20483260e-15]"	6.946717262268066
47	0.10646193282057867	[0.01, 0.24999999999999992, 0.02]	"[2.84670444e-17 4.56563833e-17 1.85759046e-20 2.36520063e-01
 7.63479937e-01 4.67200191e-21 1.95139702e-22]"	14.589570999145508
48	0.10510841611388597	[0.01, 0.2599999999999999, 0.0]	"[8.13249789e-16 1.16981953e-16 3.14261571e-16 2.46257332e-01
 7.53742668e-01 5.85397592e-17 0.00000000e+00]"	8.186882257461548
49	0.10664909529549024	[0.01, 0.2599999999999999, 0.01]	"[0.         0.         0.         0.24598812 0.75401188 0.
 0.        ]"	7.470180034637451
50	0.1081146950372833	[0.01, 0.2599999999999999, 0.02]	"[1.31092990e-17 1.89561349e-17 4.77401695e-17 2.45625817e-01
 7.54374183e-01 3.49745429e-17 5.43554548e-17]"	14.862594842910767
51	0.10682726057375325	[0.01, 0.2699999999999999, 0.0]	"[6.26198931e-17 3.09076257e-17 0.00000000e+00 2.55682224e-01
 7.44317776e-01 2.54211966e-18 2.52209631e-17]"	5.154434680938721
52	0.10829442506324805	[0.01, 0.2699999999999999, 0.01]	"[0.00000000e+00 0.00000000e+00 3.09168788e-17 2.54958316e-01
 7.45041684e-01 6.27912663e-18 4.74813377e-18]"	8.502686023712158
53	0.10968664347867507	[0.01, 0.2699999999999999, 0.02]	"[0.         0.         0.         0.25406254 0.74593746 0.
 0.        ]"	6.16999888420105
54	0.10846506104102246	[0.01, 0.2799999999999999, 0.0]	"[1.27509437e-19 8.00191379e-17 2.39747307e-17 2.64373698e-01
 7.35626302e-01 5.13342607e-17 3.19289099e-17]"	4.500965356826782
55	0.10985919057414122	[0.01, 0.2799999999999999, 0.01]	"[1.36691019e-17 4.66864837e-17 8.01576721e-17 2.63461483e-01
 7.36538517e-01 1.99896176e-17 1.45493218e-17]"	5.712228298187256
56	0.11117847563070749	[0.01, 0.2799999999999999, 0.02]	"[0.00000000e+00 5.24012156e-17 2.55975685e-18 2.62497617e-01
 7.37502383e-01 0.00000000e+00 2.18895679e-17]"	5.011132001876831
57	0.11002254494967924	[0.01, 0.2899999999999999, 0.0]	"[0.00000000e+00 3.55115334e-19 1.57936207e-17 2.72964997e-01
 7.27035003e-01 5.15924305e-18 4.56384216e-17]"	5.3195717334747314
58	0.11134407624964987	[0.01, 0.2899999999999999, 0.01]	"[6.12697084e-17 2.19363858e-17 4.97933635e-17 2.71571640e-01
 7.28428360e-01 5.40407625e-17 4.72994319e-17]"	6.0149171352386475
59	0.1125908324583738	[0.01, 0.2899999999999999, 0.02]	"[3.15041145e-17 3.55788583e-17 3.57527686e-17 2.70114635e-01
 7.29885365e-01 3.19843383e-17 2.30858741e-17]"	5.573655605316162
60	0.11150038531686085	[0.01, 0.29999999999999993, 0.0]	"[1.83275368e-17 5.90676359e-17 5.32792110e-17 2.81009369e-01
 7.18990631e-01 4.84685398e-17 4.38637014e-17]"	4.786567687988281
61	0.11274972061913108	[0.01, 0.29999999999999993, 0.01]	"[4.68752277e-16 2.81775554e-17 1.09723043e-17 2.79046246e-01
 7.20953754e-01 0.00000000e+00 1.16472069e-16]"	4.88774561882019
62	0.1139243176733202	[0.01, 0.29999999999999993, 0.02]	"[0.00000000e+00 2.62990454e-17 2.40118767e-17 2.77544428e-01
 7.22455572e-01 8.74191803e-18 2.01727913e-17]"	4.843883275985718
63	0.11289920706396346	[0.01, 0.30999999999999994, 0.0]	"[7.37551920e-17 0.00000000e+00 4.13090709e-17 2.88568758e-01
 7.11431242e-01 5.21298793e-17 1.45019469e-17]"	5.389004230499268
64	0.11407670268946038	[0.01, 0.30999999999999994, 0.01]	"[0.00000000e+00 9.91198597e-21 3.56766965e-17 2.86722783e-01
 7.13277217e-01 2.85689807e-17 7.27133003e-18]"	6.642032861709595
65	0.11517948785608786	[0.01, 0.30999999999999994, 0.02]	"[0.         0.         0.         0.28466576 0.71533424 0.
 0.        ]"	5.736604928970337
